"brand","quantity"
"Good & Gather","932636545.2811"
"up & up","537640782"
"Bulk produce","391647467.5754"
"Cat & Jack","370681262.01"
"Room Essentials","229546724"
"Starbucks","209134826"
"Wondershop","190826227"
"Threshold","171096240"
"Bullseye's Playground","170309029"
"Spritz","146865280"
"Favorite Day","117038743.85"
"A New Day","116835040"
"Market Pantry","114192688.6331"
"All in Motion","84074793"
"Universal Thread","81908967"
"Goodfellow & Co","76123432"
"Wild Fable","72518220"
"No Brand","70730341.9119"
"Target","69267631"
"Carlton Cards","66840186"
"Crayola","65560951"
"Brightroom","64878455"
"Auden","59276996"
"Dove Beauty","49619214"
"HERSHEY'S","49506488"
"Made By Design","49428648"
"Gerber","48325222"
"Clorox","46740853"
"Hyde & EEK! Boutique","44940655"
"Carter's Just One You","44493301"
"Reese's","44280145"
"Chobani","43518960"
"Target.com Use Only","42978654.4"
"Crest","40594119"
"Smartly","40039186"
"Art Class","39753935"
"Hearth & Hand with Magnolia","39084995"
"M&M's","37959098"
"Fancy Feast","37174703"
"Gatorade","36170569"
"Mondo Llama","35884493"
"Pampers","35251816"
"Kraft","33911043"
"Tide","33093597"
"Colgate","33068053"
"e.l.f.","32961058"
"LEGO","32575304"
"Campbell's","30760356"
"Coffee mate","29181835"
"Disney","29167731"
"Lunchables","28927105"
"Stars Above","28750918"
"Pillowfort","27452545"
"Quaker","27405041"
"Five Star","27079947"
"Method","27014486"
"L'Oreal Paris","26914441"
"Neutrogena","26840160"
"Coca-Cola","26761850"
"Simply Beverages","25993343"
"Goldfish","25658916"
"Lay's","25563483"
"Maybelline","25482148"
"Annie's","25440344"
"Project 62","24794974"
"HappyBaby","24382487"
"Scotch","23411080"
"Bounty","23347308"
"Downy","23237886"
"Always","23170941"
"Sun Squad","22906358"
"Tostitos","22890726"
"Betty Crocker","22617877"
"scunci","22565682"
"CeraVe","22395076"
"Pringles","22250868"
"Hanes","22033062"
"Opalhouse","22019035"
"Arm & Hammer","21776684"
"Ghirardelli","21763614"
"Friskies","21302760"
"Red Bull","21180762"
"Silk","20955635"
"Oreo","20910907"
"Cloud Island","20679411"
"Kleenex","20648442"
"Sterilite","20637436"
"Pokemon","20501955"
"Apple","20419357"
"Hot Wheels","20277250"
"Mission","20245988"
"Doritos","20233328"
"Cheetos","20183915"
"Dr Pepper","19667739"
"Febreze","19588681"
"Huggies","19405367"
"Del Monte","19376718"
"Oscar Mayer","19334285"
"Dawn","19191230"
"Old Spice","19178998"
"Mrs. Meyer's Clean Day","19149405"
"Pillsbury","19141073"
"Scotch-Brite","18997075"
"Diet Coke","18932054"
"Celsius","18913310"
"Pepperidge Farm","18883374"
"Charmin","18664360"
"Extra","18601057"
"Native","18197279"
"American Greetings","18117975"
"Oral-B","17974745"
"Horizon","17925919"
"Command","17891740"
"Everspring","17855039"
"Thomas","17617403"
"Garnier","17509788"
"Cheez-It","17272364"
"Starkist","17239997"
"Aveeno","16790469"
"Swiffer","16518753"
"Glade","16432406"
"BiC","16384580"
"Alani Nu","16294288"
"Nintendo","16271119"
"Smucker's","16016463"
"Xhilaration","16002477"
"Sparkling ICE","15919988"
"Suave","15774130"
"Blue Buffalo","15622381"
"Dove Men+Care","15531064"
"Lindt","15475499"
"Barbie","15431201"
"LaCroix","15252148"
"Elmer's","15148398"
"Birds Eye","15046327"
"Eggo","15032052"
"Boots & Barkley","14924380"
"Barilla","14673910"
"Tresemme","14649189"
"HARIBO","14571492"
"Dixie","14384857"
"Enfamil","14277760"
"Maruchan","14171098"
"EcoTools","14104723"
"Tillamook","13932735"
"Kinder","13904042"
"Burt's Bees","13850750"
"Tyson","13847791.8706"
"Vaseline","13740237"
"Lysol","13716198"
"Ocean Spray","13595021"
"Monster Energy","13573867"
"Pepsi","13438724"
"Gain","13255933"
"Beech-Nut","13207689"
"NYX Professional Makeup","13149583"
"Similac","13131831"
"Ziploc","13127200"
"Munchkin","13096442"
"Philadelphia","13058855"
"Secret","13044317"
"Olay","12824533"
"Hanes Premium","12720460"
"Sharpie","12544740"
"Cheerios","12515057"
"Jimmy Dean","12491747"
"Coca-Cola Zero","12436117"
"Cottonelle","12381621"
"Sensible Portions","12292071"
"Hefty","12290091"
"Olly","12263985"
"Bendon","12256074"
"Progresso","12248621"
"Earth's Best","12223969"
"Yoplait","12025057"
"Tree Hut","12009269"
"Nature Valley","12001668"
"Quest Nutrition","11985292"
"Lean Cuisine","11897489"
"Wet Ones","11887417"
"smartwater","11816727"
"Tampax","11748890"
"Old El Paso","11730836"
"Sara Lee","11709900"
"Cetaphil","11701739"
"L.O.L. Surprise!","11603510"
"Heyday","11592385"
"OXO","11586304"
"Kodiak Cakes","11578072"
"Plum Organics","11575946"
"Hero Cosmetics","11521719"
"U Brands","11520530"
"Listerine","11502732"
"Casaluna","11501945"
"Ben & Jerry's","11417780"
"HappyTot","11407415"
"Sprite","11350574"
"Conair","11330415"
"Cascade","11305881"
"Glad","11286257"
"Hillshire Farm","11239515"
"SheaMoisture","11225007"
"Ruffles","11216507"
"Sour Patch","11190178"
"fairlife","11131508"
"Capri Sun","11124079"
"Seventh Generation","11118549"
"Amy's","11107928"
"Ice Breakers","11095346"
"Degree","11089520"
"Paper Mate","11079776"
"Raw Sugar","11018009"
"Que Bella","11001197"
"Band-Aid","10974930"
"Marvel","10877407"
"Softsoap","10841987"
"Gillette","10817524"
"Sargento","10815366"
"Energizer","10812498"
"Mott's","10764175"
"Nerds","10713092"
"KIND","10695763"
"Kona Sol","10618359"
"Q-Tips","10604580"
"Nature Made","10585581"
"Top Flight","10562542"
"Threshold designed w/Studio McGee","10556130"
"Kit Kat","10496801"
"Reynolds","10429730"
"BODYARMOR","10408043"
"Pantene","10408014"
"Dr Teal's","10354306"
"Sensodyne","10256814"
"Tylenol","10119141"
"Shade & Shore","10086641"
"Healthy Choice","10065480"
"Purell","10035590"
"Mtn Dew","10022356"
"Fruit of the Loom","9951293"
"OGX","9945719"
"Knox Rose","9888952"
"bubly","9875841"
"Recycled Paper Greetings","9875505"
"Starbucks Discoveries","9824679"
"Revlon","9809842"
"Pop-Tarts","9793393"
"Welch's","9790976"
"Hormel","9762460.0442"
"Starbucks RTD","9753106"
"Tic Tac","9735467"
"Aquaphor","9720048"
"Our Generation","9681968"
"Colsie","9617064"
"Frito-Lay","9592197"
"NFL","9547298"
"5 Surprise","9504142"
"Kindfull","9492269"
"Snickers","9424390"
"Purina ONE","9398641"
"Ava & Viv","9388356"
"Harry's","9382007"
"Random House","9352986"
"Bertolli","9219059"
"Trim","9190228"
"Nutella","9090440"
"Entenmann's","9081529"
"Bush's","9046552"
"SkinnyPop","8975440"
"The Honest Company","8924899"
"Vicks","8870808"
"Scrubbing Bubbles","8864863"
"Heinz","8852484"
"GoGo SqueeZ","8840622"
"Toll House","8810018"
"Sally Hansen","8741431"
"RITZ","8739036"
"Tazo","8719800"
"Perdue","8691799.5515"
"DiGiorno","8672365"
"Driscoll's","8668142"
"Natures Own","8592993"
"Dove Chocolate","8591387"
"Herbal Essences","8578403"
"Canada Dry","8540585"
"PAW Patrol","8520715"
"Post-it","8488455"
"Squishmallows","8487900"
"Dial","8479478"
"Puffs","8437400"
"Cesar","8393761"
"Johnson's","8383347"
"Star Wars","8378885"
"Simon & Schuster","8352271"
"Aquafina","8257583"
"Little Debbie","8227222"
"Red Baron","8182783"
"Play-Doh","8174787"
"Aussie","8142638"
"Venus","8107081"
"Orbit","8090829"
"Once Upon a Farm","8070918"
"Twix","8067636"
"Starburst","7986546"
"Hasbro Gaming","7939307"
"McCormick","7879628"
"Pizza Hut","7874175"
"Big Time Toys","7872949"
"Duracell","7863725"
"Kristin Ess","7786641"
"eos","7749302"
"Prime Hydration","7732869"
"Ore-Ida","7685796"
"Philips","7662292"
"Milk-Bone","7612858"
"Chuckle & Roar","7599871"
"Head & Shoulders","7575688"
"Mr. Clean","7570822"
"The Honey Pot Company","7568427"
"Skittles","7532904"
"King's Hawaiian","7499620"
"NERF","7493608"
"Tropicana","7465259"
"DASANI","7440509"
"Applegate Farms","7413062.3066"
"COVERGIRL","7361633"
"Takis","7359681"
"JELL-O","7328872"
"Disney Princess","7286067"
"GE Household Lighting","7279423"
"International Delight","7187048"
"Daisy Brand","7120382"
"Mars","7082087"
"OxiClean","7038405"
"Pillsbury Baking","7015379"
"Visa","6964583"
"Rice Krispies","6930873"
"Ball Park","6930120"
"Diet Pepsi","6925113"
"Naked","6894152"
"Isabel Maternity by Ingrid & Isabel","6826088"
"Sheba","6784418"
"Temptations","6766810"
"Vitamin Water","6761522"
"Expo","6735461"
"Funko","6726093"
"Nature's Bakery","6702962"
"Pedigree","6675411"
"Stonyfield","6662221"
"Freshpet","6656387"
"Califia Farms","6571997"
"Excell","6561023"
"Stouffer's","6558881"
"NIVEA","6551872"
"Blue Diamond Almonds","6508008"
"Jif","6416807"
"Tidy Cats","6416711"
"Crystal Light","6392921"
"Peeps","6358918"
"SmartSweets","6339832"
"Not Your Mother's","6320706"
"Scott","6275293"
"Scrub Daddy","6265087"
"Brach's","6245569"
"DENIZEN from Levi's","6216846"
"Poland Spring","6215549"
"Zak Designs","6158919"
"Vivitar","6147219"
"IAMS","6146418"
"Hostess","6113074"
"U by Kotex","6111449"
"PAPYRUS","6103100"
"Mucinex","6092676"
"Eggland's Best","6092169"
"Land O'Lakes","6032831"
"Totino's","6029428"
"Jurassic World","6020139"
"Swanson","6014286"
"CLIF Bar","6012358"
"Hidden Valley","6002338"
"Ricola","5988631"
"Snyder's of Hanover","5983818"
"Russell Stover","5981829"
"Universal Music Group","5934109"
"Life Savers","5909784"
"Ferrero Rocher","5909326"
"SunChips","5860538"
"L .","5857192"
"Fisher-Price","5850921"
"hint","5840625"
"Smartfood","5801540"
"Lactaid","5799698"
"Chips Ahoy!","5774415"
"Sour Punch","5769724"
"Tums","5743716"
"Sonia Kashuk","5738805"
"Swiss Miss","5722408"
"Allstate","5709322"
"Advil","5684887"
"Minecraft","5673076"
"Wet n Wild","5655233"
"Cadbury","5640445"
"Beloved","5609719"
"GT's","5598959"
"Pure Life","5597910"
"Air Wick","5559035"
"Roblox","5526677"
"Pirate's Booty","5485603"
"A&W","5476752"
"Ben's Original","5472424"
"Spindrift","5469760"
"Dave's Killer Bread","5456730"
"Sun-Maid","5454634"
"Sabra","5437901"
"Jockey Generation","5428646"
"Threshold Signature","5411064"
"Scholastic","5391166"
"Idahoan","5375138"
"Skippy","5374739"
"SToK","5371880"
"Bounce","5371405"
"Morningstar Farms","5363900"
"Ticonderoga","5355435"
"P.F. Chang's","5349734"
"OIKOS","5340111"
"Chapstick","5296220"
"Waterloo Sparkling Water","5281411"
"Melissa & Doug","5280178"
"Tom's of Maine","5269760"
"Angie's","5231899"
"Jack Link's","5231631"
"Cinnamon Toast Crunch","5214767"
"Popcorners","5187949"
"La Roche Posay","5186782"
"Pacifica","5161605"
"LIGHT + FIT","5143840"
"Rachael Ray Nutrish","5133975"
"TWO GOOD","5132277"
"DANIMALS","5127743"
"B. toys","5116940"
"Dunkin' Donuts","5074186"
"OATLY!","5071242"
"Grin Studio Impulse","5062423"
"Summer's Eve","5057170"
"Fritos","5046426"
"Schick","5019823"
"MLB","5003795"
"All","4988171"
"Ello","4984256"
"Harper Collins","4967043"
"Kiss Nails","4960372"
"GOYA","4947886"
"Yoobi","4947041"
"Foster Farms","4945808.0161"
"Honest Kids","4934311"
"Dr. Bronner's","4917173"
"More than Magic","4913444"
"Pedialyte","4912582"
"Unison","4899378"
"Kool-Aid","4898225"
"Gold Bond","4887209"
"Original Use","4882006"
"Premier Protein","4879704"
"HP Inc.","4864446"
"essie","4841320"
"Windex","4840352"
"FlowFlex","4836249"
"Noosa","4835987"
"Haagen-Dazs","4804598"
"CLIF ZBAR","4781517"
